host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1662,Chloe,2008,8/11,304958,Westerpark,Amsterdam,North Holland,1053,Netherlands,52.37302064,4.868460923,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,130,4,10,4,within a day,0.8,11,98.0,10.0,10.0,9.0,10.0,10.0,10.0
3718,Britta,2008,10/19,103026,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1053,Netherlands,52.36938767,4.866972319,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,95,2,25,3,within a few hours,1.0,15,92.0,9.0,9.0,10.0,10.0,9.0,9.0
4716,Stefan,2008,11/30,550017,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36190508,4.888050037,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100,1,10,2,within a day,1.0,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0
5271,Tyler,2008,12/17,4728389,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,52.37153345,4.887057291,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,250,2,25,2,within a day,0.89,1,100.0,8.0,10.0,8.0,10.0,10.0,6.0
5271,Tyler,2008,12/17,5181918,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,52.3704458,4.889069478,Apartment,Private room,2,1.0,1.0,1.0,Futon,115,1,0,1,within a day,0.89,4,95.0,9.0,9.0,9.0,10.0,10.0,9.0
5988,Ramona,2009,1/4,2774924,Zuid,Amsterdam,North Holland,1071 VV,Netherlands,52.35564811,4.885834819,House,Private room,2,1.0,1.0,1.0,Real Bed,80,1,0,3,within an hour,1.0,33,95.0,9.0,10.0,10.0,10.0,10.0,9.0
9616,Laura,2009,3/9,23651,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,Netherlands,52.34591098,4.891982605,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,80,2,15,6,within a day,1.0,36,96.0,9.0,10.0,10.0,10.0,9.0,9.0
15618,Shelly,2009,5/2,51969,De Pijp - Rivierenbuurt,De Pijp,North Holland,1072,Netherlands,52.35748276,4.887099593,Apartment,Entire home/apt,3,1.5,2.0,2.0,Real Bed,100,2,30,7,within a few hours,1.0,3,95.0,10.0,9.0,10.0,10.0,10.0,10.0
21669,Mark,2009,6/15,8061,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056 TM,Netherlands,52.371207,4.857291017,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,95,1,0,3,within a day,0.75,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0
26919,Hugo,2009,7/22,98558,Centrum-Oost,Amsterdam,North Holland,1011 JX,Netherlands,52.36959599,4.899069358,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145,1,0,3,within an hour,1.0,19,99.0,10.0,10.0,10.0,10.0,10.0,9.0
